Dataset,Month,Method,Shape Parameter (k),Scale Parameter (gamma),Num Data Points,AIC,BIC,KS Statistic,KS p-value,Mean,CI_95_Low,CI_95_High,Pct_10_15,Pct_GT_25
westmeath_mullingar,October,mm,1.8432,8.45497,36916,205478.39750,205495.43030,0.05827,0.00000,7.51093,1.15059,17.16605,0.19970,0.00063
westmeath_mullingar,October,ls,1.6991,8.28328,36916,205728.68136,205745.71416,0.06995,0.00000,7.39097,0.95184,17.85828,0.18790,0.00145
westmeath_mullingar,November,mle,1.7574,8.60711,36198,205312.17095,205329.16447,0.05180,0.00000,7.66378,1.06266,18.08943,0.20174,0.00148
westmeath_mullingar,November,mm,1.7744,8.72395,36198,205331.76997,205348.76349,0.06110,0.00000,7.76374,1.09881,18.20544,0.20660,0.00154
westmeath_mullingar,November,ls,1.6301,8.43096,36198,205637.23660,205654.23011,0.07445,0.00000,7.54656,0.88402,18.77746,0.18946,0.00279
westmeath_mullingar,December,mle,1.7532,9.20797,37664,218874.99954,218892.07246,0.04464,0.00000,8.19991,1.13116,19.38669,0.21974,0.00315
westmeath_mullingar,December,mm,1.7514,9.22599,37664,218875.63201,218892.70493,0.04561,0.00000,8.21646,1.13087,19.43994,0.22007,0.00324
westmeath_mullingar,December,ls,1.6371,9.08519,37664,219156.97941,219174.05233,0.06556,0.00000,8.12925,0.96184,20.16546,0.20729,0.00528
galway_athenry,January,mle,1.7016,8.49075,11153,63251.17803,63265.81696,0.06974,0.00000,7.57534,0.97872,18.28535,0.19504,0.00187
galway_athenry,January,mm,1.4845,7.54367,11153,63764.29062,63778.92955,0.12483,0.00000,6.81874,0.63404,18.17386,0.15640,0.00268
galway_athenry,January,ls,1.5547,8.02215,11153,63431.54884,63446.18776,0.08942,0.00000,7.21279,0.75394,18.57509,0.17353,0.00287
galway_athenry,February,mle,1.9623,9.70746,9575,55056.36731,55070.70113,0.06164,0.00000,8.60640,1.49099,18.87998,0.25097,0.00166
galway_athenry,February,mm,1.8123,9.08420,9575,55232.21979,55246.55361,0.08408,0.00000,8.07586,1.19484,18.66786,0.22057,0.00191
galway_athenry,February,ls,1.8776,9.46913,9575,55094.91418,55109.24800,0.05967,0.00000,8.40593,1.33649,18.97763,0.23697,0.00205
galway_athenry,March,mle,1.8962,8.76062,11155,62418.14263,62432.78192,0.07113,0.00000,7.77436,1.26046,17.43835,0.21409,0.00067
galway_athenry,March,mm,1.8601,8.68709,11155,62425.54835,62440.18763,0.06228,0.00000,7.71435,1.20378,17.52429,0.20957,0.00079
galway_athenry,March,ls,1.7268,8.56864,11155,62573.10669,62587.74598,0.07309,0.00000,7.63750,1.01941,18.24718,0.19889,0.00174
galway_athenry,April,mle,1.9530,8.35541,10800,58961.36950,58975.94410,0.07180,0.00000,7.40855,1.27191,16.30201,0.19815,0.00020
galway_athenry,April,mm,1.8812,8.13535,10800,58999.26265,59013.83725,0.06645,0.00000,7.22141,1.15265,16.28231,0.18656,0.00026
galway_athenry,April,ls,1.8064,8.22076,10800,59066.80384,59081.37845,0.07348,0.00000,7.30937,1.07413,16.93332,0.18895,0.00058
galway_athenry,May,mle,2.0172,8.32142,11158,60368.09208,60382.73191,0.06096,0.00000,7.37358,1.34499,15.89380,0.19734,0.00010
galway_athenry,May,mm,1.9581,8.13405,11158,60395.95803,60410.59785,0.06701,0.00000,7.21181,1.24439,15.84211,0.18714,0.00012
galway_athenry,May,ls,1.8852,8.35028,11158,60462.13685,60476.77668,0.05732,0.00000,7.41165,1.18794,16.68828,0.19647,0.00037
galway_athenry,June,mle,2.0809,7.75401,10793,56275.08598,56289.65928,0.06674,0.00000,6.86816,1.32520,14.51951,0.16378,0.00001
galway_athenry,June,mm,1.8528,7.00108,10793,56747.61901,56762.19232,0.13175,0.00000,6.21808,0.96259,14.16241,0.12778,0.00003
galway_athenry,June,ls,2.0297,7.50490,10793,56320.42938,56335.00269,0.07487,0.00000,6.64944,1.22671,14.27721,0.14991,0.00001
galway_athenry,July,mle,2.1084,7.26074,11138,56476.44656,56491.08280,0.06837,0.00000,6.43063,1.26985,13.48495,0.13043,0.00000
galway_athenry,July,mm,2.0085,6.98082,11138,56559.01174,56573.64798,0.08845,0.00000,6.18613,1.11948,13.37052,0.11808,0.00000
galway_athenry,July,ls,2.0296,7.20973,11138,56502.93936,56517.57560,0.06439,0.00000,6.38792,1.17832,13.71627,0.13135,0.00000
